iteration,reward_mean,episode_len_mean,sample_time_s,learn_time_s,elapsed_time_s,iter_time_s
0,1.0537868630579783,5.935185185185186,0.0,0.0,941.5877306461334,941.5691204071045
1,1.129881240266517,5.916666666666667,0.0,0.0,1890.4439034461975,948.835188627243
2,1.2485116623227992,6.027777777777777,0.0,0.0,2844.9529132843018,954.4909610748291
3,1.5079066502947949,5.87962962962963,0.0,0.0,3781.388599872589,936.4201745986938
4,1.3287513830020456,5.990740740740741,0.0,0.0,4731.084796190262,949.6783220767975
5,1.520641799101564,6.0,0.0,0.0,5693.025486946106,961.9248130321503
6,2.49867491652996,6.546296296296296,0.0,0.0,6640.28652381897,947.2449140548706
7,2.4854783595068715,6.398148148148149,0.0,0.0,7586.82483458519,946.5209114551544
8,3.368496534892897,6.703703703703704,0.0,0.0,8537.55862903595,950.7194955348969
9,3.325497564072586,6.5740740740740735,0.0,0.0,9458.599185705185,921.0260071754456
10,3.3298374671619366,6.62962962962963,0.0,0.0,10400.711537361145,942.0798542499542
11,4.179297330358991,7.066666666666666,0.0,0.0,11338.609099149704,937.8810293674469
12,3.8941041974641624,6.757407407407407,0.0,0.0,12273.388535022736,934.7606399059296
13,4.760754542725831,7.064814814814815,0.0,0.0,13210.763164520264,937.3602919578552
14,4.873076936244093,7.142592592592592,0.0,0.0,14156.4511013031,945.6709451675415
15,5.139014204643348,7.3351851851851855,0.0,0.0,15086.001703500748,929.5381138324738
16,5.036766079899135,7.296296296296297,0.0,0.0,16001.787090539932,915.7674279212952
17,5.64441023354962,7.824074074074073,0.0,0.0,16924.994545936584,923.1948895454407
18,5.185762275851184,7.461111111111112,0.0,0.0,17847.3673453331,922.3562481403351
19,5.38860082179824,7.596296296296297,0.0,0.0,18772.095896959305,924.7127006053925
20,6.700762460020083,8.091666666666667,0.0,0.0,19697.511180877686,925.3832461833954
21,6.694365668672514,7.927777777777777,0.0,0.0,20626.602871894836,929.0758187770844
22,6.23762054392895,8.007407407407406,0.0,0.0,21544.312205076218,917.691742181778
23,6.480397794545407,7.8351851851851855,0.0,0.0,22479.758327007294,935.4301481246948
24,6.246795079603647,8.031481481481483,0.0,0.0,23393.715268611908,913.9410586357117
25,6.764650370523664,8.242592592592592,0.0,0.0,24328.38518667221,934.6554577350616
26,7.105244086000061,8.19166666666667,0.0,0.0,25258.386878967285,929.9858152866364
27,7.9585662637418295,8.974074074074075,0.0,0.0,26190.25838971138,931.8570351600647
28,7.485556301351417,8.340740740740738,0.0,0.0,27110.175489664078,919.9023857116699
29,8.104903952328488,8.648148148148147,0.0,0.0,28036.67441177368,926.4841763973236
30,8.507896199046392,8.690740740740742,0.0,0.0,28959.542358636856,922.8370594978333
31,8.347218395147504,8.706481481481482,0.0,0.0,29864.353136062622,904.7966690063477
32,8.39086586747014,8.722222222222221,0.0,0.0,30784.883084774017,920.5099065303802
33,8.86933448964747,8.83148148148148,0.0,0.0,31696.214418411255,911.3126692771912
34,9.269890793459881,9.397222222222224,0.0,0.0,32608.997397184372,912.7650663852692
35,9.099592589288635,9.075925925925926,0.0,0.0,33524.0348842144,915.0212063789368
36,9.050355137135004,9.031481481481482,0.0,0.0,34434.36657547951,910.3142518997192
37,9.996447690009052,9.122222222222224,0.0,0.0,35354.73562288284,920.3528788089752
38,10.156611381312125,9.559259259259257,0.0,0.0,36260.041910648346,905.2920498847961
39,9.961547636041804,9.454629629629629,0.0,0.0,37178.71164870262,918.6556074619293
40,10.784108360696306,9.678703703703704,0.0,0.0,38099.603189229965,920.8599832057953
41,10.862854835358645,9.962962962962964,0.0,0.0,39014.203389167786,914.5807390213013
42,10.567814399461303,9.555555555555555,0.0,0.0,39932.96199440956,918.7440631389618
43,11.984493760882758,10.238888888888887,0.0,0.0,40833.72757077217,900.7498784065247
44,11.892075474620581,10.202777777777778,0.0,0.0,41759.438952207565,925.6937217712402
45,11.816332119523741,10.490740740740742,0.0,0.0,42666.08927369118,906.631379365921
46,12.867169035676815,11.065740740740742,0.0,0.0,43573.19648933411,907.0940387248993
47,12.190531415148836,10.827777777777776,0.0,0.0,44484.61845779419,911.4033739566803
48,12.79993396385347,10.773148148148147,0.0,0.0,45396.1588435173,911.5235507488251
49,13.407810842895275,11.285185185185185,0.0,0.0,46308.40529513359,912.2293672561646
50,13.452549968543412,11.081481481481482,0.0,0.0,47207.58726835251,899.1482665538788
51,14.529558199953609,11.6,0.0,0.0,48121.09690737724,913.4958760738373
52,14.306467437450173,11.505555555555553,0.0,0.0,49029.23527479172,908.1232163906097
53,14.581575478971368,11.427777777777777,0.0,0.0,49935.52960848808,906.2783536911011
54,15.13785551212544,11.80648148148148,0.0,0.0,50834.53332591057,898.9869439601898
55,14.43270647694104,11.261111111111111,0.0,0.0,51749.520429611206,914.9685950279236
56,14.304747496610556,11.183333333333332,0.0,0.0,52653.61738085747,904.0789411067963
57,15.620770030707641,11.911111111111111,0.0,0.0,53566.05063915253,912.4170868396759
