step,reward,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15
0,0.9127220489156502,False,False,-0.0014575836226512066,0.02456638552339522,-0.0016445369103717379,0.9999994141602646,-0.00041098474468220537,0.0010011715686201474,-2.064358184960426e-05,0.4974786643330894,-0.04929117884337033,10.428836774961594,1.0,1.0,0.0,0.0,-0.028421366033031283,-0.02894388156318809
1,1.1858593410324343,False,False,-0.003685607463105703,0.038778706826205295,-0.023123204916448422,0.9999708670350257,-0.0012505524639894777,0.00707207643665062,-0.002585910792756264,0.5733872510698558,0.5224522869893282,10.468186791081363,1.0,1.0,0.0,0.0,-0.041918672046274946,-0.04262372134481739
2,1.3768446630116138,False,False,0.25369842933571496,0.17044584146895084,2.810529100106465,0.9826555572643597,0.03703567327803753,0.0490160481778105,0.17496811624791409,-1.2559700080710752,1.4251040861273043,12.006104335671681,1.0,1.0,0.0,0.0016126874437249685,0.0018585984477629616,0.002578060424547619
3,2.0866919251230014,False,False,-0.9073293036615955,-0.8129146989560122,-0.4475958563039075,0.9502065593361292,-0.0031457447437495765,-0.05325688386682021,0.30702003713992143,3.447322206944091,0.03655548304833091,11.958157813003686,1.0,1.0,-0.01585760280978996,0.0016126874437249685,-0.0018861023060045105,0.0029235503655038807
4,1.6815082192208688,False,False,0.7752720744763002,0.3068337555739319,0.7472640330058825,0.9526375775254591,0.01744168456612743,0.012201013354256753,0.30336210837718314,-0.22358509734187823,-0.06667362118246775,12.999718859983728,1.0,1.0,-0.01585760280978996,-0.018484562995669633,-0.001077821460633368,0.009717799120691414
5,1.7135409898881,False,False,-0.8427351943136997,-0.22808166713285893,1.8888981785287562,0.9405881148216795,-0.016936325243228415,-0.017197514689483575,0.33869072120735716,1.143363022154794,0.3800037933724901,9.815204910812966,1.0,1.0,-0.023183558746365983,-0.018484562995669633,0.01957112678169594,0.012657218135522869
6,1.6753322062517468,False,False,0.8725693188189884,-0.49547947730846936,0.6978065397744263,0.8822270727748245,0.021335332866257634,0.008621614635870758,0.4702614840657491,1.413119785049829,-0.6696350315191507,15.292521851033625,1.0,1.0,-0.023183558746365983,-0.029272951586601578,0.013399410031376784,0.017900010238230166
7,2.259678744212807,False,False,-1.2099574759195022,0.46801882733610284,-2.297249900926836,0.962394130717292,-0.02393410437303566,0.03337002431266625,0.2685351695516637,-0.9114508597873745,0.950733287359368,13.283978657433615,1.0,1.0,-0.029569956578665076,-0.029272951586601578,0.023621484258439053,0.029484539486786983
8,2.23461693521894,False,False,1.9315608552006083,-0.5942587175968608,0.41901110876405734,0.8751558031333296,0.04632328959212598,0.03721959694015286,0.48017827385985845,2.6394499260426745,0.6691787397513885,12.43974817888636,1.0,1.0,-0.029569956578665076,-0.04667067044675913,0.04889341933751372,0.02780219808748438
9,2.893075509576587,True,False,-0.7581275198009773,1.052304112254687,0.7722687328228839,0.9403158511271129,0.0637659075157399,0.15315300048183084,0.2971265178357526,-1.0740229090577653,2.322359520674028,9.31880704445583,1.0,1.0,0.07517012511145511,-0.04667067044675913,-0.10281673937955842,0.07417840600766194
