step,reward,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15
10,1.6870993078499776,False,False,0.7268195209483006,-0.16335181247994449,-0.6778223296635655,0.970856840065972,0.027897180661813528,-0.006210870170321321,0.23794992855633648,0.41195004315517997,-0.04208047828800649,7.454448792914228,1.0,1.0,-0.03637128528570635,-0.04110687468429511,0.02504748246844825,0.030905862101671254
11,1.779934118586102,False,False,-0.8394564496079137,0.17361666686856847,-2.1720098632675815,0.9862401155835631,-0.019609461341206842,0.0114709718616942,0.16375078700322734,-1.4050948495498867,1.4265111740345406,9.46170628838999,1.0,1.0,-0.042141974483168754,-0.04110687468429511,0.03554840967807768,0.028048712456758114
12,1.7278497370602222,False,False,0.8016023697568744,0.10079791309355143,0.7155261004267445,0.981816966508359,0.008696269705900242,0.004977759442949959,0.1895654005362117,-0.01208920669901142,-1.4834570003749838,11.518515735393283,1.0,1.0,-0.042141974483168754,-0.04536702245198928,0.029465983362960947,0.030981021434171425
13,1.9814123917026218,False,False,-0.9144989436208187,-0.5587840410970039,-1.1549102820872648,0.9942603423009478,-0.026119047312054115,-0.005065205130960092,0.10362678607432428,0.011592456606503434,-0.48858343928454795,10.283355651116553,1.0,1.0,-0.051736658879702094,-0.04536702245198928,0.0464839012962955,0.03967917911960406
14,2.0226333033662915,False,False,0.8192368066534325,0.23851013966542525,1.171558157602606,0.9936742446722969,0.012375462806297055,0.007437355266040077,0.1113688876747747,-0.6315824918305774,-0.716774808591139,11.702844043659333,1.0,1.0,-0.051736658879702094,-0.053670318951880736,0.03789264890968237,0.04361583153274543
15,2.1567604274623378,False,False,-0.9697633474462936,-0.2777180226412147,-1.264936787035225,0.9958834669681513,-0.017542403641298544,0.0021858861393571813,0.08890222829472097,0.6403499196979741,0.36608198689284294,14.083462920760791,1.0,1.0,-0.056930920009678795,-0.053670318951880736,0.04794204145544029,0.038323881548452635
16,2.145718494312493,False,False,0.9882998244549736,0.2802305375654499,1.4929982036354636,0.9961230971627679,0.0180948430393706,0.006942127456145049,0.08580885047952748,-0.2819326174182369,0.053939179993589215,12.185330434444202,1.0,1.0,-0.056930920009678795,-0.059854409034680964,0.04362891187039089,0.04988998075107969
17,2.243351460586919,False,False,-1.1312611103379258,-0.19864146503795477,-1.2100983038031803,0.9977329048327818,-0.01634167450647645,0.0009759470309152361,0.06527670193611522,1.0067142223898264,0.4906925770305126,15.016169572758756,1.0,1.0,-0.06452276177348018,-0.059854409034680964,0.05517973688509292,0.04579348503965434
18,2.208608856714577,False,False,0.9856994991291312,0.2326711496660287,1.295140633841074,0.9980755735233174,0.016268703403398813,0.0049792182587885415,0.05962957497085227,0.6071466030938342,0.5108807293451931,11.618690336821095,1.0,1.0,-0.06452276177348018,-0.06760059243226524,0.05050980373465849,0.05654624611609045
19,2.253838414602313,False,False,-0.7482529770192039,0.14272981987387862,-1.6225898831312853,0.9993366459007095,-0.019947194479292343,0.005677927763141215,0.029935576303819468,-0.7042114921051399,0.8120426374670875,8.088679114248462,1.0,1.0,-0.07132082936112313,-0.06760059243226524,0.0641641836194691,0.055169146747894915
20,2.266678769333991,False,False,0.6727299024387198,-0.3519999449490569,0.5161732205141847,0.999463622044523,0.01764410894465784,-0.007005741550396344,0.026684700008075785,0.06638266876400142,-0.33572793386571614,8.321503632160887,1.0,1.0,-0.07132082936112313,-0.07624448991418152,0.06002617800152571,0.06417624082295659
21,2.168388813285437,False,False,-0.7973816329822164,0.25293886856457604,-2.0355962193360027,0.9995201021558269,-0.0164753539822574,0.014128314922084375,-0.022102461741336035,-1.2595083413490595,1.3681636399300066,10.480386089017172,1.0,1.0,-0.07792663809783126,-0.07624448991418152,0.07425650087350327,0.06228609243898503
22,2.388557746394039,False,False,0.9767481373507202,-0.715818502563459,-0.14965848417192162,0.9992713336978462,0.01890843564688367,-0.030308230267737612,-0.013441870746045203,2.1022129704539716,0.5302079790296804,10.375663218930685,1.0,1.0,-0.07792663809783126,-0.0902894174923946,0.07799273714144309,0.07189146473791942
23,2.114876553757167,False,False,-0.8419384550813753,0.3381593415422524,-2.843465455164352,0.9929729945187439,-0.01679472515902586,0.020298100357879427,-0.11537138503620903,-2.4350761633661944,1.2748576500184277,12.3680927989359,1.0,1.0,-0.091519685402066,-0.0902894174923946,0.08876374832846504,0.07807601345862575
24,2.1069445513726173,False,False,0.7503310588476378,-0.026033850332578597,-0.020232481866041603,0.9906451870642393,0.0009597034282997623,-0.0024708108354489213,-0.1364371188848677,1.0064126462791798,-1.7498803408461698,12.842465765989378,1.0,1.0,-0.091519685402066,-0.09069371649954723,0.0798691492664682,0.07492276928873982
25,2.121955684159821,False,False,-1.1317591523034753,-0.8333289486883861,-0.967356407370715,0.9695492080909782,-0.030167173565294317,0.0029218268905717177,-0.24301386309603748,1.1092831681697246,-0.2169582511660317,14.200616696448199,1.0,1.0,-0.10059978262623395,-0.09069371649954723,0.09321384901290578,0.08505263010995104
26,2.302195410480844,False,False,0.9451198264745816,0.38314386027319886,1.8623843051078615,0.9791948618550329,0.010609893369690973,0.01212335019056502,-0.2022816775181173,-0.8449184660430314,-1.153999877901809,14.099846866226246,1.0,1.0,-0.10059978262623395,-0.09858680795533134,0.09237826082053975,0.087669794610651
27,2.3380760284946502,False,False,-1.350512447173703,-0.9145927595250181,-0.3126027406924235,0.9594128818133604,-0.043510338421013435,-0.00813948493355058,-0.27850946383577047,1.7067605962004009,-0.7892590611694653,12.202089040719782,1.0,1.0,-0.1145120346223412,-0.09858680795533134,0.1009590283626155,0.09405005208862399
28,2.3139934230415085,False,False,1.0377538538544457,0.4753950502569137,2.147267130782024,0.9738068396746019,0.003501041134695384,0.017439458637361356,-0.22668005425350737,0.6633974913162435,-0.36656911216768784,12.866485436466544,1.0,1.0,-0.1145120346223412,-0.10786251822052446,0.10548750388125842,0.09711107942098132
29,2.1547059428916873,False,False,-1.4649117342882068,-0.43236723881859795,-0.3382804484159118,0.8989632633709633,-0.050895379738065544,0.02092938996884959,-0.4345534168157902,0.08808320536484943,-0.5583724441891156,6.994925683957368,1.0,1.0,-0.12120448464183502,-0.10786251822052446,0.11195929792902051,0.10460516357242756
30,2.4821679044308,False,False,0.5057040731755791,-0.1677794719412928,-0.08157016892217811,0.9650741188836356,-0.09373149895902871,0.05882384385139993,-0.23745758896782834,-0.9176644466182563,-4.232598885983884,16.557318594802297,1.0,1.0,-0.12120448464183502,-0.04312697231333678,0.12589874488591352,0.048863168289467095
31,-7.4373092121818205,True,False,0.7819002704415031,1.0511885136469388,0.4121755043342153,0.9777036251205765,-0.01303651406606762,0.13443871681477687,-0.1607852671990952,2.4152907103304613,1.0393665031358372,7.94047881365533,0.0,1.0,0.009222228656373038,-0.04312697231333678,0.02478215942483567,0.05384825108526556
32,0.9127220489156502,False,False,-0.0014575836226512066,0.02456638552339522,-0.0016445369103717379,0.9999994141602646,-0.00041098474468220537,0.0010011715686201474,-2.064358184960426e-05,0.4974786643330894,-0.04929117884337033,10.428836774961594,1.0,1.0,0.0,0.0,-0.028421366033031283,-0.02894388156318809
